s,C,%/m
Time,Termopar_Couch,Sensor_MQ2_Fumaca
 0.000E+00, 2.000E+01, 0.000E+00
 1.428E-01, 2.000E+01, 0.000E+00
 2.142E-01, 2.000E+01, 0.000E+00
 3.570E-01, 2.000E+01, 0.000E+00
 4.284E-01, 2.000E+01, 0.000E+00
 5.712E-01, 2.000E+01, 0.000E+00
 6.426E-01, 2.000E+01, 0.000E+00
 7.140E-01, 2.000E+01, 0.000E+00
 8.569E-01, 2.000E+01, 0.000E+00
 9.283E-01, 2.000E+01, 0.000E+00
 1.071E+00, 2.000E+01, 0.000E+00
 1.142E+00, 2.000E+01, 0.000E+00
 1.214E+00, 2.000E+01, 0.000E+00
 1.357E+00, 2.000E+01, 0.000E+00
 1.428E+00, 2.000E+01, 0.000E+00
 1.571E+00, 2.000E+01, 0.000E+00
 1.642E+00, 2.000E+01, 0.000E+00
 1.714E+00, 2.000E+01, 0.000E+00
 1.857E+00, 2.000E+01, 0.000E+00
 1.920E+00, 2.000E+01, 0.000E+00
 2.048E+00, 2.000E+01, 0.000E+00
 2.112E+00, 2.000E+01, 0.000E+00
 2.219E+00, 2.000E+01, 0.000E+00
 2.310E+00, 2.000E+01, 0.000E+00
 2.400E+00, 2.000E+01, 0.000E+00
 2.526E+00, 2.000E+01, 0.000E+00
 2.607E+00, 2.000E+01, 0.000E+00
 2.728E+00, 2.000E+01, 0.000E+00
 2.809E+00, 2.000E+01, 0.000E+00
 2.930E+00, 2.000E+01, 0.000E+00
 3.011E+00, 2.000E+01, 0.000E+00
 3.136E+00, 2.000E+01, 0.000E+00
 3.225E+00, 2.000E+01, 0.000E+00
 3.304E+00, 2.000E+01, 0.000E+00
 3.422E+00, 2.000E+01, 0.000E+00
 3.501E+00, 2.000E+01, 0.000E+00
 3.619E+00, 2.000E+01, 0.000E+00
 3.737E+00, 2.000E+01, 0.000E+00
 3.816E+00, 2.000E+01, 0.000E+00
 3.934E+00, 2.000E+01, 0.000E+00
 4.013E+00, 2.000E+01, 0.000E+00
 4.120E+00, 2.000E+01, 0.000E+00
 4.226E+00, 2.000E+01, 0.000E+00
 4.336E+00, 2.000E+01, 0.000E+00
 4.414E+00, 2.000E+01, 0.000E+00
 4.530E+00, 2.000E+01, 0.000E+00
 4.604E+00, 2.000E+01, 0.000E+00
 4.708E+00, 2.000E+01, 0.000E+00
 4.813E+00, 2.000E+01, 0.000E+00
 4.920E+00, 2.000E+01, 0.000E+00
 5.035E+00, 2.000E+01, 0.000E+00
 5.111E+00, 2.000E+01, 0.000E+00
 5.226E+00, 2.000E+01, 0.000E+00
 5.303E+00, 2.000E+01, 0.000E+00
 5.417E+00, 2.000E+01, 0.000E+00
 5.532E+00, 2.000E+01, 0.000E+00
 5.608E+00, 2.000E+01, 0.000E+00
 5.723E+00, 2.000E+01, 9.474E-15
 5.838E+00, 2.000E+01, 7.270E-11
 5.914E+00, 2.000E+01, 1.815E-08
 6.029E+00, 2.000E+01, 4.993E-06
 6.105E+00, 2.002E+01, 2.128E-04
 6.220E+00, 2.016E+01, 2.240E-03
 6.334E+00, 2.042E+01, 8.989E-03
 6.411E+00, 2.087E+01, 2.017E-02
 6.525E+00, 2.166E+01, 4.305E-02
 6.602E+00, 2.255E+01, 8.542E-02
 6.717E+00, 2.389E+01, 1.958E-01
 6.831E+00, 2.558E+01, 4.927E-01
 6.908E+00, 2.612E+01, 8.542E-01
 7.022E+00, 2.600E+01, 1.231E+00
 7.137E+00, 2.574E+01, 1.643E+00
 7.213E+00, 2.590E+01, 1.970E+00
 7.328E+00, 2.617E+01, 2.300E+00
