s,C,%/m
Time,Termopar_01,Detetor_Fumaca
 0.0000000E+000, 2.0000000E+001, 0.0000000E+000
 1.4280870E-001, 1.9999993E+001, 0.0000000E+000
 2.1421305E-001, 1.9999971E+001, 0.0000000E+000
 3.5702175E-001, 1.9999956E+001, 0.0000000E+000
 4.2842609E-001, 1.9999941E+001, 0.0000000E+000
 5.7123479E-001, 1.9999930E+001, 0.0000000E+000
 6.4263914E-001, 1.9999919E+001, 0.0000000E+000
 7.1404349E-001, 1.9999914E+001, 0.0000000E+000
 8.5685219E-001, 1.9999908E+001, 0.0000000E+000
 9.2825654E-001, 1.9999902E+001, 0.0000000E+000
 1.0710652E+000, 1.9999897E+001, 0.0000000E+000
 1.1424696E+000, 1.9999893E+001, 0.0000000E+000
 1.2138739E+000, 1.9999890E+001, 0.0000000E+000
 1.3566826E+000, 1.9999886E+001, 0.0000000E+000
 1.4280870E+000, 1.9999882E+001, 0.0000000E+000
 1.5708957E+000, 1.9999879E+001, 0.0000000E+000
 1.6423000E+000, 1.9999876E+001, 0.0000000E+000
 1.7137044E+000, 1.9999874E+001, 0.0000000E+000
 1.8565131E+000, 1.9999872E+001, 0.0000000E+000
 1.9279174E+000, 1.9999870E+001, 0.0000000E+000
 2.0632793E+000, 1.9999868E+001, 0.0000000E+000
 2.1272369E+000, 1.9999866E+001, 0.0000000E+000
 2.2339926E+000, 1.9999865E+001, 0.0000000E+000
 2.3315964E+000, 1.9999864E+001, 0.0000000E+000
 2.4200483E+000, 1.9999864E+001, 0.0000000E+000
 2.5085002E+000, 1.9999865E+001, 0.0000000E+000
 2.6411781E+000, 1.9999867E+001, 0.0000000E+000
 2.7384752E+000, 1.9999870E+001, 0.0000000E+000
 2.8357723E+000, 1.9999874E+001, 0.0000000E+000
 2.9224493E+000, 1.9999877E+001, 0.0000000E+000
 3.0217016E+000, 1.9999882E+001, 0.0000000E+000
 3.1016990E+000, 1.9999891E+001, 0.0000000E+000
 3.2110287E+000, 1.9999911E+001, 0.0000000E+000
 3.3172370E+000, 1.9999938E+001, 0.0000000E+000
 3.4197383E+000, 1.9999967E+001, 0.0000000E+000
 3.5054964E+000, 2.0000001E+001, 0.0000000E+000
 3.6126940E+000, 2.0000045E+001, 0.0000000E+000
 3.7132935E+000, 2.0000096E+001, 0.0000000E+000
 3.8120409E+000, 2.0000159E+001, 0.0000000E+000
 3.9107883E+000, 2.0000238E+001, 0.0000000E+000
 4.0095358E+000, 2.0000338E+001, 0.0000000E+000
 4.1109968E+000, 2.0000492E+001, 0.0000000E+000
 4.2124579E+000, 2.0000694E+001, 0.0000000E+000
 4.3121736E+000, 2.0001002E+001, 0.0000000E+000
 4.4014170E+000, 2.0001361E+001, 0.0000000E+000
 4.5123338E+000, 2.0001917E+001, 0.0000000E+000
 4.6105016E+000, 2.0002637E+001, 0.0000000E+000
 4.7086693E+000, 2.0003442E+001, 0.0000000E+000
 4.8025863E+000, 2.0004318E+001, 0.0000000E+000
 4.9119967E+000, 2.0005324E+001, 0.0000000E+000
 5.0115338E+000, 2.0006450E+001, 0.0000000E+000
 5.1110708E+000, 2.0007705E+001, 0.0000000E+000
 5.2106079E+000, 2.0009194E+001, 0.0000000E+000
 5.3101449E+000, 2.2058217E+001, 0.0000000E+000
 5.4096820E+000, 5.3120214E+001, 0.0000000E+000
 5.5092190E+000, 5.7904426E+001, 0.0000000E+000
 5.6045422E+000, 5.0614484E+001, 0.0000000E+000
 5.7038797E+000, 4.5599227E+001, 1.5016136E-011
 5.8032172E+000, 4.1090902E+001, 5.6859425E-007
 5.9105936E+000, 4.0199535E+001, 1.6784421E-003
 6.0080783E+000, 5.3082015E+001, 7.5934890E-002
 6.1033319E+000, 6.1115564E+001, 4.2328321E-001
 6.2046578E+000, 6.0017462E+001, 1.1219693E+000
 6.3069127E+000, 5.3702975E+001, 2.1064046E+000
 6.4017309E+000, 4.8887884E+001, 3.3056885E+000
 6.5101211E+000, 4.9817891E+001, 4.5704662E+000
 6.6001054E+000, 4.7883373E+001, 5.7175034E+000
 6.7090737E+000, 5.3111280E+001, 6.8594640E+000
 6.8098473E+000, 6.1880276E+001, 8.0975067E+000
 6.9021031E+000, 8.0854329E+001, 9.0024342E+000
 7.0003380E+000, 9.4992148E+001, 9.4414273E+000
 7.1049108E+000, 7.2043667E+001, 9.6172960E+000
 7.2007691E+000, 5.8194893E+001, 9.6238758E+000
 7.3049480E+000, 6.3694857E+001, 9.7483606E+000
 7.4017122E+000, 8.3883561E+001, 1.0397137E+001
 7.5047192E+000, 8.6917538E+001, 1.2359251E+001
 7.6064646E+000, 1.0083117E+002, 1.4898951E+001
 7.7016534E+000, 8.2668804E+001, 1.6643276E+001
 7.8043821E+000, 6.8299008E+001, 1.8635759E+001
 7.9008942E+000, 7.8426259E+001, 2.0361315E+001
 8.0038406E+000, 8.5961332E+001, 2.1757424E+001
 8.1055644E+000, 9.0212322E+001, 2.1551067E+001
 8.2013238E+000, 1.5405230E+002, 2.0885438E+001
